date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;0;0;7;0;0
25/02/2020;0;0;0;NA;0
26/02/2020;0;0;0;NA;0
27/02/2020;0;0;2;0;0
28/02/2020;0;0;0;NA;0
29/02/2020;0;0;0;NA;0
01/03/2020;0;0;1;0;0
02/03/2020;0;0;1;0;0
03/03/2020;0;0;1;0;0
04/03/2020;0;0;3;0;0
05/03/2020;2;0.4;6;33.33;0
06/03/2020;5;1.4;7;NA;0
07/03/2020;1;1.6;4;25;0
08/03/2020;1;1.8;9;11.11;0
09/03/2020;6;3;26;23.08;0
10/03/2020;2;3;22;9.09;0
11/03/2020;3;2.6;10;30;0
12/03/2020;7;3.8;19;36.84;0
13/03/2020;1;3.8;71;1.41;0
14/03/2020;14;5.4;42;33.33;0
15/03/2020;15;8;-1;-1500;3
16/03/2020;48;17;57;NA;5
17/03/2020;31;21.8;111;27.93;6
18/03/2020;29;27.4;88;32.95;3
19/03/2020;50;34.6;122;40.98;9
20/03/2020;49;41.4;206;23.79;9
21/03/2020;49;41.6;70;NA;15
22/03/2020;51;45.6;66;NA;21
23/03/2020;29;45.6;148;19.59;20
24/03/2020;7;37;82;8.54;20
25/03/2020;1;27.4;20;5;25
26/03/2020;7;19;3;NA;24
27/03/2020;44;17.6;49;NA;24
28/03/2020;59;23.6;128;46.09;26
29/03/2020;73;36.8;100;NA;26
30/03/2020;0;36.6;56;0;26
31/03/2020;44;44;46;NA;26
01/04/2020;3;35.8;135;2.22;27
02/04/2020;37;31.4;217;17.05;25
03/04/2020;51;27;172;29.65;25
04/04/2020;29;32.8;168;17.26;23
05/04/2020;34;30.8;116;29.31;23
06/04/2020;23;34.8;200;11.5;21
07/04/2020;30;33.4;164;18.29;17
08/04/2020;15;26.2;199;7.54;20
09/04/2020;18;24;189;9.52;18
10/04/2020;11;19.4;186;5.91;16
11/04/2020;23;19.4;136;16.91;17
12/04/2020;19;17.2;46;41.3;16
13/04/2020;6;15.4;104;5.77;15
14/04/2020;20;15.8;112;17.86;14
15/04/2020;11;15.8;168;6.55;11
16/04/2020;13;13.8;265;4.91;12
17/04/2020;22;14.4;207;10.63;9
18/04/2020;80;29.2;155;NA;10
19/04/2020;15;28.2;156;9.62;10
20/04/2020;0;26;122;0;8
21/04/2020;5;24.4;112;4.46;8
22/04/2020;2;20.4;113;1.77;8
23/04/2020;1;4.6;203;0.49;9
24/04/2020;4;2.4;35;11.43;7
25/04/2020;0;2.4;704;0;6
26/04/2020;6;2.6;169;3.55;7
27/04/2020;5;3.2;416;1.2;7
28/04/2020;8;4.6;346;2.31;5
29/04/2020;5;4.8;284;1.76;5
30/04/2020;4;5.6;450;0.89;4
01/05/2020;5;5.4;138;3.62;3
02/05/2020;3;5;182;1.65;3
03/05/2020;6;4.6;149;4.03;2
04/05/2020;1;3.8;171;0.58;2
05/05/2020;0;3;213;0;3
06/05/2020;3;2.6;156;1.92;3
07/05/2020;4;2.8;299;1.34;2
08/05/2020;1;1.8;341;0.29;2
09/05/2020;1;1.8;163;0.61;3
10/05/2020;5;2.8;390;1.28;2
11/05/2020;1;2.4;230;0.43;1
12/05/2020;2;2;352;0.57;0
13/05/2020;3;2.4;362;0.83;0
14/05/2020;3;2.8;323;0.93;0
15/05/2020;6;3;313;1.92;0
16/05/2020;1;3;422;0.24;0
17/05/2020;0;2.6;334;0;0
18/05/2020;1;2.2;158;0.63;0
19/05/2020;1;1.8;336;0.3;1
20/05/2020;0;0.6;257;0;1
21/05/2020;1;0.6;341;0.29;1
22/05/2020;1;0.8;270;0.37;2
23/05/2020;0;0.6;297;0;2
24/05/2020;1;0.6;251;0.4;1
25/05/2020;1;0.8;96;1.04;1
26/05/2020;2;1;87;2.3;1
27/05/2020;0;0.8;197;0;1
28/05/2020;1;1;194;0.52;0
29/05/2020;0;0.8;106;0;0
30/05/2020;1;0.8;213;0.47;0
31/05/2020;1;0.6;231;0.43;0
01/06/2020;3;1.2;27;11.11;0
02/06/2020;0;1;97;0;0
03/06/2020;0;1;86;0;0
04/06/2020;0;0.8;99;0;0
05/06/2020;0;0.6;75;0;0
06/06/2020;2;0.4;143;1.4;0
07/06/2020;2;0.8;175;1.14;0
08/06/2020;0;0.8;5;0;0
09/06/2020;0;0.8;130;0;0
10/06/2020;0;0.8;101;0;0
11/06/2020;0;0.4;127;0;0
12/06/2020;0;0;106;0;0
13/06/2020;0;0;102;0;0
14/06/2020;0;0;121;0;0
15/06/2020;0;0;53;0;0
16/06/2020;0;0;114;0;0
17/06/2020;0;0;154;0;0
18/06/2020;0;0;139;0;0
19/06/2020;0;0;126;0;0
20/06/2020;2;0.4;114;1.75;0
21/06/2020;0;0.4;95;0;0
22/06/2020;0;0.4;847;0;0
23/06/2020;0;0.4;-650;0;0
24/06/2020;1;0.6;111;0.9;0
25/06/2020;0;0.2;148;0;0
26/06/2020;0;0.2;93;0;0
27/06/2020;0;0.2;47;0;0
28/06/2020;0;0.2;74;0;0
29/06/2020;0;0;86;0;0
30/06/2020;1;0.2;115;0.87;0
01/07/2020;0;0.2;151;0;0
02/07/2020;0;0.2;65;0;0
03/07/2020;1;0.4;97;1.03;0
04/07/2020;0;0.4;74;0;0
05/07/2020;0;0.2;57;0;0
06/07/2020;0;0.2;100;0;0
07/07/2020;0;0.2;62;0;0
08/07/2020;0;0;183;0;0
09/07/2020;0;0;194;0;0
10/07/2020;0;0;81;0;0
11/07/2020;0;0;82;0;0
12/07/2020;0;0;88;0;0
13/07/2020;0;0;102;0;0
14/07/2020;0;0;108;0;0
15/07/2020;0;0;117;0;0
16/07/2020;0;0;91;0;0
17/07/2020;0;0;108;0;0
18/07/2020;0;0;81;0;0
19/07/2020;0;0;86;0;0
20/07/2020;0;0;80;0;0
21/07/2020;0;0;110;0;0
22/07/2020;0;0;159;0;0
23/07/2020;0;0;129;0;0
24/07/2020;0;0;77;0;0
25/07/2020;0;0;31;0;0
26/07/2020;0;0;99;0;0
27/07/2020;0;0;102;0;0
28/07/2020;10;2;199;5.03;0
29/07/2020;2;2.4;111;1.8;0
30/07/2020;0;2.4;121;0;0
31/07/2020;0;2.4;124;0;0
01/08/2020;0;2.4;56;0;0
02/08/2020;1;0.6;111;0.9;0
03/08/2020;0;0.2;89;0;0
04/08/2020;0;0.2;137;0;0
05/08/2020;0;0.2;58;0;0
06/08/2020;1;0.4;182;0.55;0
07/08/2020;4;1;65;6.15;0
08/08/2020;2;1.4;110;1.82;0
09/08/2020;0;1.4;98;0;0
10/08/2020;1;1.6;86;1.16;0
11/08/2020;0;1.4;107;0;0
12/08/2020;0;0.6;208;0;0
13/08/2020;0;0.2;99;0;0
14/08/2020;0;0.2;118;0;0
15/08/2020;0;0;110;0;0
16/08/2020;0;0;55;0;0
17/08/2020;1;0.2;145;0.69;0
18/08/2020;0;0.2;85;0;0
19/08/2020;2;0.6;183;1.09;0
20/08/2020;1;0.8;119;0.84;0
21/08/2020;0;0.8;79;0;0
22/08/2020;0;0.6;75;0;0
23/08/2020;0;0.6;175;0;0
24/08/2020;0;0.2;41;0;0
25/08/2020;2;0.4;107;1.87;0
26/08/2020;0;0.4;208;0;0
27/08/2020;1;0.6;100;1;0
28/08/2020;2;1;90;2.22;0
29/08/2020;4;1.8;50;8;0
30/08/2020;2;1.8;105;1.9;0
31/08/2020;9;3.6;110;8.18;0
01/09/2020;0;3.4;164;0;0
02/09/2020;2;3.4;152;1.32;0
03/09/2020;4;3.4;132;3.03;0
