date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;0;0;0;NA;0
25/02/2020;0;0;8;0;0
26/02/2020;0;0;0;NA;0
27/02/2020;0;0;0;NA;0
28/02/2020;0;0;0;NA;0
29/02/2020;0;0;23;0;0
01/03/2020;2;0.4;4;NA;0
02/03/2020;0;0.4;0;NA;0
03/03/2020;6;1.6;10;NA;1
04/03/2020;1;1.8;13;7.69;1
05/03/2020;0;1.8;30;0;1
06/03/2020;7;2.8;22;31.82;2
07/03/2020;8;4.4;24;33.33;2
08/03/2020;2;3.6;34;5.88;2
09/03/2020;2;3.8;15;13.33;2
10/03/2020;9;5.6;77;11.69;2
11/03/2020;9;6;80;11.25;5
12/03/2020;18;8;118;15.25;8
13/03/2020;12;10;118;10.17;10
14/03/2020;31;15.8;172;18.02;11
15/03/2020;36;21.2;217;16.59;13
16/03/2020;21;23.6;128;16.41;15
17/03/2020;33;26.6;230;14.35;21
18/03/2020;50;34.2;278;17.99;21
19/03/2020;87;45.4;353;24.65;21
20/03/2020;61;50.4;349;17.48;24
21/03/2020;67;59.6;409;16.38;29
22/03/2020;59;64.8;423;13.95;35
23/03/2020;56;66;426;13.15;42
24/03/2020;71;62.8;547;12.98;43
25/03/2020;62;63;599;10.35;44
26/03/2020;92;68;721;12.76;46
27/03/2020;82;72.6;709;11.57;46
28/03/2020;85;78.4;891;9.54;44
29/03/2020;54;75;657;8.22;46
30/03/2020;28;68.2;465;6.02;47
31/03/2020;27;55.2;535;5.05;43
01/04/2020;17;42.2;395;4.3;45
02/04/2020;33;31.8;657;5.02;47
03/04/2020;51;31.2;877;5.82;48
04/04/2020;31;31.8;1195;2.59;44
05/04/2020;29;32.2;639;4.54;45
06/04/2020;14;31.6;125;11.2;46
07/04/2020;10;27;701;1.43;41
08/04/2020;26;22;831;3.13;41
09/04/2020;9;17.6;1065;0.85;38
10/04/2020;4;12.6;1155;0.35;39
11/04/2020;7;11.2;1336;0.52;39
12/04/2020;10;11.2;1011;0.99;39
13/04/2020;1;6.2;68;1.47;38
14/04/2020;1;4.6;216;0.46;37
15/04/2020;1;4;1302;0.08;37
16/04/2020;7;4;1229;0.57;33
17/04/2020;8;3.6;1331;0.6;31
18/04/2020;7;4.8;1288;0.54;32
19/04/2020;4;5.4;1064;0.38;30
20/04/2020;1;5.4;392;0.26;29
21/04/2020;4;4.8;1077;0.37;22
22/04/2020;4;4;1016;0.39;20
23/04/2020;5;3.6;1356;0.37;19
24/04/2020;1;3;1513;0.07;19
25/04/2020;3;3.4;1415;0.21;18
26/04/2020;2;3;630;0.32;17
27/04/2020;2;2.6;254;0.79;16
28/04/2020;9;3.4;1058;0.85;17
29/04/2020;12;5.6;1056;1.14;16
30/04/2020;1;5.2;1522;0.07;16
01/05/2020;1;5;1303;0.08;13
02/05/2020;1;4.8;310;0.32;13
03/05/2020;0;3;751;0;13
04/05/2020;0;0.6;221;0;13
05/05/2020;6;1.6;954;0.63;11
06/05/2020;4;2.2;1330;0.3;9
07/05/2020;1;2.2;1460;0.07;9
08/05/2020;1;2.4;1435;0.07;6
09/05/2020;1;2.6;1351;0.07;6
10/05/2020;4;2.2;1349;0.3;6
11/05/2020;1;1.6;551;0.18;4
12/05/2020;7;2.8;1775;0.39;4
13/05/2020;0;2.6;1482;0;4
14/05/2020;1;2.6;1516;0.07;1
15/05/2020;2;2.2;1554;0.13;2
16/05/2020;0;2;1369;0;2
17/05/2020;2;1;786;0.25;2
18/05/2020;0;1;323;0;2
19/05/2020;3;1.4;1543;0.19;2
20/05/2020;0;1;1398;0;2
21/05/2020;2;1.4;1251;0.16;2
22/05/2020;0;1;1225;0;2
23/05/2020;1;1.2;1313;0.08;2
24/05/2020;0;0.6;708;0;2
25/05/2020;0;0.6;199;0;2
26/05/2020;1;0.4;1097;0.09;2
27/05/2020;0;0.4;1206;0;2
28/05/2020;0;0.2;1239;0;2
29/05/2020;0;0.2;1315;0;2
30/05/2020;0;0.2;1250;0;1
31/05/2020;0;0;530;0;2
01/06/2020;0;0;188;0;2
02/06/2020;0;0;1028;0;2
03/06/2020;0;0;232;0;2
04/06/2020;0;0;1203;0;2
05/06/2020;0;0;938;0;2
06/06/2020;0;0;1194;0;2
07/06/2020;1;0.2;843;0.12;2
08/06/2020;0;0.2;234;0;2
09/06/2020;3;0.8;1014;0.3;2
10/06/2020;1;1;939;0.11;2
11/06/2020;0;1;868;0;2
