date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;32;32;2200;1.45;4
25/02/2020;10;21;1580;0.63;7
26/02/2020;28;23.3333333333333;1120;2.5;8
27/02/2020;40;27.5;1264;3.16;8
28/02/2020;40;30;1250;3.2;9
29/02/2020;40;31.6;1245;3.21;11
01/03/2020;72;44;397;18.14;13
02/03/2020;10;40.4;726;1.38;14
03/03/2020;34;39.2;394;8.63;19
04/03/2020;53;41.8;339;15.63;23
05/03/2020;47;43.2;1434;3.28;24
06/03/2020;81;45;1074;7.54;27
07/03/2020;55;54;1406;3.91;41
08/03/2020;127;72.6;1489;8.53;47
09/03/2020;74;76.8;38;NA;51
10/03/2020;112;89.8;687;16.3;67
11/03/2020;167;107;4757;3.51;68
12/03/2020;361;168.2;2038;17.71;85
13/03/2020;211;185;2253;9.37;107
14/03/2020;342;238.6;1289;26.53;119
15/03/2020;235;263.2;5566;4.22;129
16/03/2020;301;290;2506;12.01;156
17/03/2020;231;264;426;NA;171
18/03/2020;510;323.8;5363;9.51;195
19/03/2020;270;309.4;3817;7.07;209
20/03/2020;547;371.8;4630;11.81;236
21/03/2020;586;428.8;4354;13.46;249
22/03/2020;505;483.6;4029;12.53;255
23/03/2020;383;458.2;3444;11.12;281
24/03/2020;443;492.8;5063;8.75;304
25/03/2020;494;482.2;4699;10.51;316
26/03/2020;493;463.6;8882;5.55;326
27/03/2020;562;475;3868;14.53;338
28/03/2020;433;485;5753;7.53;344
29/03/2020;428;482;5404;7.92;355
30/03/2020;366;456.4;5157;7.1;356
31/03/2020;431;444;6297;6.84;356
01/04/2020;470;425.6;6508;7.22;350
02/04/2020;486;436.2;7574;6.42;345
03/04/2020;353;421.2;6170;5.72;335
04/04/2020;360;420;6799;5.29;324
05/04/2020;402;414.2;7621;5.27;329
06/04/2020;362;392.6;5378;6.73;322
07/04/2020;337;362.8;7254;4.65;297
08/04/2020;485;389.2;9705;5;285
09/04/2020;523;421.8;8209;6.37;274
10/04/2020;488;439;9244;5.28;257
11/04/2020;347;436;10212;3.4;251
12/04/2020;309;430.4;7530;4.1;249
13/04/2020;174;368.2;4635;3.75;245
14/04/2020;181;299.8;5801;3.12;233
15/04/2020;192;240.6;7466;2.57;219
16/04/2020;366;244.4;8205;4.46;209
17/04/2020;384;259.4;12173;3.15;197
18/04/2020;318;288.2;10607;3;190
19/04/2020;243;300.6;8468;2.87;184
20/04/2020;192;300.6;5013;3.83;180
21/04/2020;277;282.8;7259;3.82;177
22/04/2020;334;272.8;9474;3.53;163
