date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;0;0;58;0;0
25/02/2020;0;0;31;0;0
26/02/2020;0;0;25;0;0
27/02/2020;0;0;27;0;0
28/02/2020;0;0;28;0;0
29/02/2020;0;0;20;0;0
01/03/2020;6;1.2;54;11.11;0
02/03/2020;3;1.8;26;11.54;0
03/03/2020;4;2.6;85;4.71;0
04/03/2020;5;3.6;22;22.73;0
05/03/2020;3;4.2;21;14.29;0
06/03/2020;10;5;180;5.56;0
07/03/2020;11;6.6;0;NA;1
08/03/2020;15;8.8;420;3.57;1
09/03/2020;36;15;347;10.37;1
10/03/2020;23;19;258;8.91;6
11/03/2020;10;19;471;2.12;5
12/03/2020;41;25;531;7.72;10
13/03/2020;90;40;545;16.51;8
14/03/2020;44;41.6;227;19.38;11
15/03/2020;46;46.2;31;NA;12
16/03/2020;39;52;1444;2.7;19
17/03/2020;8;45.4;107;7.48;21
18/03/2020;68;41;0;NA;27
19/03/2020;137;59.6;-906;-15.12;29
20/03/2020;57;61.8;912;6.25;32
21/03/2020;134;80.8;991;13.52;37
22/03/2020;84;96;806;10.42;47
23/03/2020;56;93.6;663;8.45;41
24/03/2020;62;78.6;1102;5.63;49
25/03/2020;147;96.6;968;15.19;52
26/03/2020;84;86.6;1227;6.85;54
27/03/2020;94;88.6;1120;8.39;57
28/03/2020;119;101.2;882;13.49;59
29/03/2020;44;97.6;674;6.53;60
30/03/2020;21;72.4;606;3.47;60
31/03/2020;92;74;896;10.27;60
01/04/2020;92;73.6;1088;8.46;60
02/04/2020;114;72.6;1134;10.05;60
03/04/2020;80;79.8;2864;2.79;61
04/04/2020;107;97;1141;9.38;50
05/04/2020;62;91;526;11.79;50
06/04/2020;55;83.6;620;8.87;46
07/04/2020;50;70.8;1264;3.96;44
08/04/2020;65;67.8;1262;5.15;41
09/04/2020;81;62.6;1407;5.76;37
10/04/2020;50;60.2;1892;2.64;33
11/04/2020;44;58;1588;2.77;28
12/04/2020;38;55.6;303;12.54;28
13/04/2020;51;52.8;953;5.35;30
14/04/2020;38;44.2;823;4.62;28
15/04/2020;24;39;2036;1.18;24
16/04/2020;72;44.6;1966;3.66;26
17/04/2020;59;48.8;4264;1.38;23
18/04/2020;56;49.8;3263;1.72;27
19/04/2020;14;45;1329;1.05;25
20/04/2020;30;46.2;539;5.57;22
21/04/2020;17;35.2;3339;0.51;21
22/04/2020;25;28.4;2369;1.06;20
23/04/2020;41;25.4;2049;2;18
24/04/2020;24;27.4;2584;0.93;16
25/04/2020;21;25.6;2873;0.73;15
26/04/2020;14;25;1306;1.07;13
27/04/2020;60;32;1259;4.77;13
28/04/2020;18;27.4;3211;0.56;13
29/04/2020;15;25.6;2618;0.57;12
30/04/2020;15;24.4;1161;1.29;11
01/05/2020;16;24.8;3083;0.52;6
02/05/2020;18;16.4;2842;0.63;5
03/05/2020;13;15.4;1135;1.15;6
04/05/2020;4;13.2;431;0.93;4
05/05/2020;9;12;3089;0.29;4
06/05/2020;9;10.6;919;0.98;3
07/05/2020;13;9.6;2583;0.5;2
08/05/2020;9;8.8;890;1.01;2
09/05/2020;8;9.6;5482;0.15;3
10/05/2020;6;9;1065;0.56;3
11/05/2020;8;8.8;1411;0.57;3
12/05/2020;10;8.2;2191;0.46;2
13/05/2020;8;8;1549;0.52;2
14/05/2020;5;7.4;2400;0.21;2
15/05/2020;14;9;3400;0.41;3
16/05/2020;8;9;1294;0.62;3
17/05/2020;8;8.6;2362;0.34;3
18/05/2020;7;8.4;818;0.86;3
19/05/2020;5;8.4;782;0.64;2
20/05/2020;6;6.8;3015;0.2;2
21/05/2020;6;6.4;2870;0.21;2
22/05/2020;12;7.2;2521;0.48;2
23/05/2020;6;7;2627;0.23;1
24/05/2020;3;6.6;2163;0.14;1
25/05/2020;4;6.2;1271;0.31;1
26/05/2020;11;7.2;1289;0.85;1
27/05/2020;4;5.6;1651;0.24;1
28/05/2020;7;5.8;2952;0.24;1
29/05/2020;5;6.2;4823;0.1;2
30/05/2020;4;6.2;1138;0.35;1
31/05/2020;2;4.4;2402;0.08;1
01/06/2020;1;3.8;1053;0.09;2
02/06/2020;2;2.8;1093;0.18;2
03/06/2020;0;1.8;1726;0;2
04/06/2020;3;1.6;692;0.43;2
05/06/2020;1;1.4;3304;0.03;2
06/06/2020;3;1.8;4092;0.07;2
07/06/2020;0;1.4;1335;0;4
08/06/2020;1;1.6;357;0.28;3
09/06/2020;0;1;859;0;2
10/06/2020;2;1.2;3977;0.05;1
11/06/2020;1;0.8;897;0.11;0
12/06/2020;3;1.4;4146;0.07;0
13/06/2020;6;2.4;961;0.62;0
14/06/2020;0;2.4;1954;0;1
15/06/2020;0;2;1121;0;1
16/06/2020;1;2;495;0.2;0
17/06/2020;2;1.8;3624;0.06;0
18/06/2020;2;1;1421;0.14;1
19/06/2020;2;1.4;2624;0.08;0
20/06/2020;1;1.6;1838;0.05;1
21/06/2020;1;1.6;2705;0.04;0
22/06/2020;0;1.2;1054;0;0
23/06/2020;0;0.8;764;0;0
24/06/2020;0;0.4;2263;0;0
25/06/2020;0;0.2;2245;0;0
26/06/2020;2;0.4;2846;0.07;0
27/06/2020;0;0.4;1827;0;0
28/06/2020;1;0.6;1130;0.09;0
29/06/2020;0;0.6;719;0;0
30/06/2020;0;0.6;2455;0;0
01/07/2020;4;1;2151;0.19;0
02/07/2020;2;1.4;2289;0.09;0
03/07/2020;4;2;2580;0.16;0
04/07/2020;8;3.6;2232;0.36;0
05/07/2020;0;3.6;781;0;0
06/07/2020;0;2.8;663;0;0
07/07/2020;1;2.6;2102;0.05;0
08/07/2020;4;2.6;1827;0.22;0
09/07/2020;1;1.2;2228;0.04;0
10/07/2020;1;1.4;2353;0.04;0
11/07/2020;2;1.8;1841;0.11;0
12/07/2020;0;1.6;1194;0;0
13/07/2020;0;0.8;518;0;0
14/07/2020;3;1.2;1992;0.15;0
15/07/2020;1;1.2;2670;0.04;0
16/07/2020;4;1.6;2567;0.16;0
17/07/2020;3;2.2;2835;0.11;0
18/07/2020;4;3;2078;0.19;0
19/07/2020;2;2.8;1331;0.15;0
20/07/2020;4;3.4;832;0.48;0
21/07/2020;2;3;2614;0.08;0
22/07/2020;2;2.8;2466;0.08;0
23/07/2020;3;2.6;2489;0.12;1
24/07/2020;5;3.2;2783;0.18;2
25/07/2020;5;3.4;2201;0.23;2
26/07/2020;2;3.4;852;0.23;2
27/07/2020;0;3;867;0;2
28/07/2020;0;2.4;2602;0;2
29/07/2020;3;2;2363;0.13;2
30/07/2020;13;3.6;2835;0.46;2
31/07/2020;3;3.8;2530;0.12;2
01/08/2020;7;5.2;2542;0.28;3
02/08/2020;10;7.2;1617;0.62;3
03/08/2020;0;6.6;568;0;3
04/08/2020;5;5;2299;0.22;2
05/08/2020;9;6.2;2891;0.31;2
06/08/2020;7;6.2;2347;0.3;2
07/08/2020;4;5;2146;0.19;3
08/08/2020;6;6.2;1830;0.33;3
09/08/2020;7;6.6;1277;0.55;3
10/08/2020;0;4.8;653;0;3
11/08/2020;3;4;2367;0.13;3
12/08/2020;9;5;2485;0.36;3
13/08/2020;15;6.8;2517;0.6;3
14/08/2020;8;7;2222;0.36;3
15/08/2020;15;10;3340;0.45;3
16/08/2020;8;11;1052;0.76;3
17/08/2020;5;10.2;1185;0.42;3
18/08/2020;10;9.2;3279;0.3;3
19/08/2020;11;9.8;4394;0.25;3
20/08/2020;14;9.6;3440;0.41;3
21/08/2020;36;15.2;3158;1.14;2
22/08/2020;33;20.8;3362;0.98;2
23/08/2020;24;23.6;2565;0.94;2
24/08/2020;2;21.8;901;0.22;2
25/08/2020;9;20.8;1408;0.64;2
26/08/2020;33;20.2;5509;0.6;0
27/08/2020;25;18.6;3503;0.71;0
28/08/2020;19;17.6;2230;0.85;0
29/08/2020;20;21.2;5132;0.39;0
30/08/2020;16;22.6;1435;1.11;1
31/08/2020;5;17;717;0.7;2
01/09/2020;17;15.4;2822;0.6;2
02/09/2020;20;15.6;3301;0.61;3
03/09/2020;25;16.6;3048;0.82;3
04/09/2020;23;18;3444;0.67;4
05/09/2020;49;26.8;2786;1.76;3
06/09/2020;20;27.4;1283;1.56;4
07/09/2020;11;25.6;1700;0.65;4
08/09/2020;12;23;1648;0.73;4
09/09/2020;54;29.2;3971;1.36;3
10/09/2020;39;27.2;2283;1.71;3
11/09/2020;34;30;3366;1.01;3
12/09/2020;39;35.6;2919;1.34;2
13/09/2020;45;42.2;2138;2.1;2
14/09/2020;4;32.2;832;0.48;3
15/09/2020;20;28.4;2157;0.93;2
16/09/2020;29;27.4;4227;0.69;3
17/09/2020;63;32.2;4081;1.54;4
18/09/2020;39;31;3152;1.24;4
19/09/2020;33;36.8;3639;0.91;3
20/09/2020;32;39.2;2069;1.55;4
21/09/2020;13;36;886;1.47;5
22/09/2020;14;26.2;2296;0.61;5
23/09/2020;57;29.8;4770;1.19;6
24/09/2020;28;28.8;3034;0.92;6
25/09/2020;37;29.8;3899;0.95;6
26/09/2020;54;38;4475;1.21;6
27/09/2020;28;40.8;2344;1.19;6
28/09/2020;2;29.8;700;0.29;6
29/09/2020;28;29.8;2976;0.94;6
30/09/2020;28;28;3542;0.79;6
01/10/2020;57;28.6;4312;1.32;4
02/10/2020;66;36.2;4683;1.41;2
03/10/2020;51;46;3900;1.31;5
04/10/2020;50;50.4;2368;2.11;5
05/10/2020;21;49;1152;1.82;5
06/10/2020;51;47.8;3048;1.67;5
07/10/2020;72;49;5174;1.39;6
08/10/2020;110;60.8;4953;2.22;6
09/10/2020;146;80;4307;3.39;6
10/10/2020;126;101;4269;2.95;6
11/10/2020;97;110.2;1694;5.73;5
12/10/2020;59;107.6;1696;3.48;5
13/10/2020;38;93.2;2747;1.38;10
14/10/2020;182;100.4;6030;3.02;11
15/10/2020;136;102.4;5027;2.71;11
16/10/2020;165;116;5327;3.1;12
17/10/2020;167;137.6;4340;3.85;13
18/10/2020;155;161;2295;6.75;14
19/10/2020;90;142.6;1281;7.03;13
20/10/2020;131;141.6;3915;3.35;14
21/10/2020;219;152.4;4627;4.73;16
22/10/2020;220;163;5510;3.99;14
23/10/2020;340;200;5301;6.41;19
24/10/2020;412;264.4;6521;6.32;16
25/10/2020;334;305;3800;8.79;23
26/10/2020;334;328;3087;10.82;27
27/10/2020;241;332.2;4422;5.45;31
28/10/2020;406;345.4;5573;7.29;35
29/10/2020;468;356.6;5659;8.27;34
30/10/2020;505;390.8;6017;8.39;35
31/10/2020;726;469.2;6262;11.59;36
01/11/2020;403;501.6;3740;10.78;38
02/11/2020;218;464;2557;8.53;37
03/11/2020;366;443.6;5233;6.99;39
04/11/2020;436;429.8;5033;8.66;40
