date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;0;0;3;0;0
25/02/2020;0;0;0;NA;0
26/02/2020;0;0;0;NA;0
27/02/2020;0;0;29;0;0
28/02/2020;0;0;0;NA;0
29/02/2020;0;0;11;0;0
01/03/2020;0;0;79;0;0
02/03/2020;0;0;0;NA;0
03/03/2020;4;0.8;0;NA;0
04/03/2020;1;1;0;NA;0
05/03/2020;2;1.4;0;NA;0
06/03/2020;3;2;0;NA;0
07/03/2020;4;2.8;72;5.56;1
08/03/2020;9;3.8;34;26.47;2
09/03/2020;10;5.6;39;25.64;2
10/03/2020;19;9;132;14.39;3
11/03/2020;25;13.4;128;19.53;4
12/03/2020;30;18.6;66;45.45;5
13/03/2020;56;28;253;22.13;6
14/03/2020;43;34.6;160;26.88;12
15/03/2020;172;65.2;0;NA;19
16/03/2020;0;60.2;0;NA;19
17/03/2020;7;55.6;721;0.97;22
18/03/2020;70;58.4;460;15.22;22
19/03/2020;68;63.4;16;NA;30
20/03/2020;119;52.8;453;26.27;34
21/03/2020;140;80.8;0;NA;39
22/03/2020;172;113.8;394;43.65;46
23/03/2020;69;113.6;100;NA;46
24/03/2020;87;117.4;562;15.48;49
25/03/2020;112;116;402;27.86;65
26/03/2020;75;103;486;15.43;66
27/03/2020;94;87.4;323;29.1;66
28/03/2020;114;96.4;638;17.87;72
29/03/2020;89;96.8;389;22.88;75
30/03/2020;88;92;427;20.61;78
31/03/2020;64;89.8;596;10.74;80
01/04/2020;124;95.8;702;17.66;76
02/04/2020;133;99.6;821;16.2;78
03/04/2020;106;103;497;21.33;80
04/04/2020;111;107.6;870;12.76;81
05/04/2020;65;107.8;613;10.6;80
06/04/2020;63;95.6;654;9.63;79
07/04/2020;128;94.6;900;14.22;78
08/04/2020;126;98.6;1228;10.26;77
09/04/2020;106;97.6;1080;9.81;69
10/04/2020;108;106.2;643;16.8;70
11/04/2020;154;124.4;1665;9.25;62
12/04/2020;83;115.4;1151;7.21;61
13/04/2020;73;104.8;789;9.25;56
14/04/2020;15;86.6;188;7.98;54
15/04/2020;79;80.8;761;10.38;48
16/04/2020;74;64.8;1238;5.98;43
17/04/2020;82;64.6;1148;7.14;44
18/04/2020;55;61;1226;4.49;42
19/04/2020;101;78.2;1241;8.14;41
20/04/2020;58;74;1823;3.18;40
21/04/2020;24;64;399;6.02;38
22/04/2020;32;54;64;NA;34
23/04/2020;81;59.2;1566;5.17;29
24/04/2020;49;48.8;1539;3.18;28
25/04/2020;62;49.6;882;7.03;27
26/04/2020;56;56;1481;3.78;24
27/04/2020;101;69.8;1010;10;23
28/04/2020;30;59.6;687;4.37;22
29/04/2020;44;58.6;1169;3.76;22
30/04/2020;47;55.6;1526;3.08;21
01/05/2020;16;47.6;1304;1.23;19
02/05/2020;49;37.2;1741;2.81;19
03/05/2020;66;44.4;1516;4.35;17
04/05/2020;11;37.8;966;1.14;17
05/05/2020;3;29;809;0.37;15
06/05/2020;19;29.6;1849;1.03;13
07/05/2020;3;20.4;1781;0.17;11
08/05/2020;2;7.6;1720;0.12;11
09/05/2020;7;6.8;2058;0.34;10
10/05/2020;3;6.8;1761;0.17;10
11/05/2020;2;3.4;1359;0.15;11
12/05/2020;6;4;1936;0.31;9
13/05/2020;9;5.4;2663;0.34;9
14/05/2020;3;4.6;2846;0.11;9
15/05/2020;3;4.6;2857;0.11;9
16/05/2020;8;5.8;1683;0.48;8
17/05/2020;12;7;4276;0.28;8
18/05/2020;13;7.8;514;2.53;8
19/05/2020;7;8.6;518;1.35;8
20/05/2020;10;10;1340;0.75;6
21/05/2020;10;10.4;1818;0.55;6
22/05/2020;10;10;2152;0.46;4
23/05/2020;7;8.8;2184;0.32;4
24/05/2020;9;9.2;1603;0.56;4
25/05/2020;1;7.4;666;0.15;4
26/05/2020;10;7.4;695;1.44;3
27/05/2020;7;6.8;1120;0.62;2
28/05/2020;3;6;749;0.4;3
29/05/2020;3;4.8;1787;0.17;3
30/05/2020;1;4.8;1760;0.06;3
31/05/2020;1;3;1993;0.05;3
01/06/2020;2;2;677;0.3;3
02/06/2020;0;1.4;552;0;2
03/06/2020;1;1;1234;0.08;2
04/06/2020;0;0.8;610;0;1
05/06/2020;0;0.6;1285;0;1
06/06/2020;1;0.4;1243;0.08;1
07/06/2020;1;0.6;1479;0.07;1
08/06/2020;1;0.6;187;0.53;1
09/06/2020;3;1.2;702;0.43;1
10/06/2020;0;1.2;1212;0;1
11/06/2020;2;1.4;1230;0.16;1
12/06/2020;2;1.6;1431;0.14;1
13/06/2020;3;2;1738;0.17;1
14/06/2020;1;1.6;1772;0.06;1
15/06/2020;1;1.8;396;0.25;0
16/06/2020;0;1.4;390;0;0
17/06/2020;1;1.2;1145;0.09;0
18/06/2020;8;2.2;1525;0.52;0
19/06/2020;1;2.2;1198;0.08;0
20/06/2020;0;2;1704;0;0
21/06/2020;5;3;1446;0.35;0
22/06/2020;1;3;769;0.13;0
23/06/2020;1;1.6;608;0.16;0
24/06/2020;0;1.4;1405;0;0
25/06/2020;3;2;1442;0.21;0
26/06/2020;4;1.8;1463;0.27;0
27/06/2020;1;1.8;1638;0.06;0
28/06/2020;3;2.2;1026;0.29;0
29/06/2020;0;2.2;103;0;0
30/06/2020;0;1.6;1147;0;0
01/07/2020;1;1;1259;0.08;0
02/07/2020;1;1;1290;0.08;0
03/07/2020;6;1.6;1342;0.45;0
04/07/2020;2;2;1483;0.13;0
05/07/2020;0;2;1197;0;0
06/07/2020;0;1.8;143;0;0
07/07/2020;3;2.2;568;0.53;0
08/07/2020;0;1;583;0;0
09/07/2020;0;0.6;1574;0;0
10/07/2020;3;1.2;1226;0.24;0
11/07/2020;2;1.6;823;0.24;0
12/07/2020;0;1;1629;0;0
13/07/2020;0;1;97;0;0
14/07/2020;0;1;329;0;0
15/07/2020;0;0.4;1138;0;0
16/07/2020;0;0;1605;0;0
17/07/2020;0;0;1319;0;0
18/07/2020;3;0.6;1363;0.22;0
19/07/2020;1;0.8;594;0.17;0
20/07/2020;4;1.6;512;0.78;0
21/07/2020;2;2;435;0.46;0
22/07/2020;20;6;1121;1.78;0
23/07/2020;30;11.4;1332;2.25;0
24/07/2020;16;14.4;1675;0.96;0
25/07/2020;2;14;1466;0.14;0
26/07/2020;6;14.8;1122;0.53;0
27/07/2020;1;11;104;0.96;0
28/07/2020;0;5;455;0;0
29/07/2020;4;2.6;1507;0.27;0
30/07/2020;3;2.8;499;0.6;0
31/07/2020;2;2;2062;0.1;0
01/08/2020;0;1.8;1294;0;0
02/08/2020;4;2.6;939;0.43;0
03/08/2020;2;2.2;385;0.52;0
04/08/2020;2;2;396;0.51;0
05/08/2020;1;1.8;1231;0.08;0
06/08/2020;4;2.6;1476;0.27;0
07/08/2020;4;2.6;1251;0.32;0
08/08/2020;1;2.4;1636;0.06;0
09/08/2020;2;2.4;909;0.22;0
10/08/2020;1;2.4;305;0.33;0
11/08/2020;2;2;626;0.32;0
12/08/2020;0;1.2;1387;0;1
13/08/2020;2;1.4;1425;0.14;1
14/08/2020;3;1.6;1421;0.21;1
15/08/2020;0;1.4;1400;0;1
16/08/2020;0;1;453;0;1
17/08/2020;1;1.2;138;0.72;1
18/08/2020;2;1.2;798;0.25;1
19/08/2020;2;1;2066;0.1;1
20/08/2020;4;1.8;1721;0.23;1
21/08/2020;4;2.6;745;0.54;1
22/08/2020;9;4.2;2516;0.36;1
23/08/2020;3;4.4;1062;0.28;1
24/08/2020;1;4.2;147;0.68;1
25/08/2020;3;4;530;0.57;1
26/08/2020;7;4.6;1898;0.37;1
27/08/2020;15;5.8;1351;1.11;1
28/08/2020;16;8.4;1390;1.15;1
29/08/2020;14;11;1365;1.03;1
30/08/2020;8;12;1053;0.76;1
31/08/2020;4;11.4;112;3.57;1
01/09/2020;3;9;695;0.43;1
02/09/2020;33;12.4;803;4.11;1
03/09/2020;91;27.8;2317;3.93;1
04/09/2020;23;30.8;1925;1.19;0
05/09/2020;53;40.6;1708;3.1;0
06/09/2020;33;46.6;1438;2.29;0
07/09/2020;17;43.4;322;5.28;0
08/09/2020;3;25.8;593;0.51;0
09/09/2020;7;22.6;1251;0.56;0
10/09/2020;82;28.4;1894;4.33;0
11/09/2020;29;27.6;1626;1.78;0
12/09/2020;22;28.6;1956;1.12;0
13/09/2020;9;29.8;1166;0.77;0
14/09/2020;20;32.4;317;6.31;0
15/09/2020;20;20;621;3.22;0
16/09/2020;32;20.6;2528;1.27;0
17/09/2020;76;31.4;2099;3.62;0
18/09/2020;18;33.2;1793;1;0
19/09/2020;22;33.6;2375;0.93;0
20/09/2020;45;38.6;1547;2.91;0
21/09/2020;2;32.6;118;1.69;0
22/09/2020;25;22.4;999;2.5;0
23/09/2020;22;23.2;2227;0.99;0
24/09/2020;23;23.4;1612;1.43;0
25/09/2020;23;19;2155;1.07;0
26/09/2020;51;28.8;2116;2.41;0
27/09/2020;42;32.2;1542;2.72;0
28/09/2020;20;31.8;208;9.62;0
29/09/2020;13;29.8;1110;1.17;0
30/09/2020;37;32.6;2420;1.53;0
01/10/2020;48;32;1883;2.55;0
02/10/2020;39;31.4;1731;2.25;0
03/10/2020;62;39.8;2136;2.9;0
04/10/2020;34;44;1524;2.23;0
05/10/2020;49;46.4;1204;4.07;0
06/10/2020;40;44.8;1047;3.82;0
07/10/2020;32;43.4;2001;1.6;0
08/10/2020;59;42.8;2508;2.35;0
09/10/2020;39;43.8;2001;1.95;0
10/10/2020;50;44;2331;2.15;0
11/10/2020;39;43.8;1847;2.11;0
12/10/2020;2;37.8;125;1.6;0
13/10/2020;28;31.6;801;3.5;0
14/10/2020;29;29.6;2567;1.13;0
15/10/2020;62;32;1655;3.75;0
16/10/2020;111;46.4;2376;4.67;0
17/10/2020;82;62.4;2593;3.16;0
18/10/2020;48;66.4;830;5.78;0
19/10/2020;79;76.4;1518;5.2;0
20/10/2020;94;82.8;854;11.01;1
21/10/2020;148;90.2;2760;5.36;2
22/10/2020;153;104.4;1234;12.4;1
23/10/2020;207;136.2;3497;5.92;3
24/10/2020;162;152.8;2093;7.74;4
25/10/2020;104;154.8;1827;5.69;4
26/10/2020;113;147.8;987;11.45;5
27/10/2020;257;168.6;1345;19.11;5
28/10/2020;191;165.4;2788;6.85;6
29/10/2020;173;167.6;3103;5.58;9
30/10/2020;222;191.2;2856;7.77;9
31/10/2020;390;246.6;3056;12.76;9
01/11/2020;210;237.2;2610;8.05;9
02/11/2020;187;236.4;937;19.96;11
03/11/2020;112;224.2;1567;7.15;12
04/11/2020;225;224.8;3682;6.11;11
05/11/2020;320;210.8;3251;9.84;15
06/11/2020;261;221;3463;7.54;17
07/11/2020;251;233.8;2623;9.57;18
08/11/2020;182;247.8;1659;10.97;20
09/11/2020;257;254.2;1009;25.47;24
10/11/2020;243;238.8;2383;10.2;28
11/11/2020;253;237.2;4327;5.85;31
12/11/2020;253;237.6;2342;10.8;30
13/11/2020;202;241.6;4650;4.34;30
14/11/2020;206;231.4;4012;5.13;31
15/11/2020;268;236.4;2482;10.8;33
16/11/2020;181;222;1900;9.53;32
17/11/2020;276;226.6;1618;17.06;35
18/11/2020;236;233.4;4224;5.59;38
19/11/2020;266;245.4;3094;8.6;39
20/11/2020;234;238.6;3044;7.69;38
21/11/2020;212;244.8;4874;4.35;40
22/11/2020;159;221.4;3535;4.5;41
23/11/2020;93;192.8;1479;6.29;43
24/11/2020;143;168.2;2235;6.4;42
25/11/2020;179;157.2;3401;5.26;41
26/11/2020;297;174.2;4321;6.87;43
27/11/2020;229;188.2;3554;6.44;44
28/11/2020;219;213.4;3954;5.54;42
29/11/2020;265;237.8;3695;7.17;44
30/11/2020;176;237.2;737;23.88;44
01/12/2020;156;209;2025;7.7;44
02/12/2020;278;218.8;3705;7.5;47
03/12/2020;239;222.8;3574;6.69;45
04/12/2020;255;220.8;3931;6.49;47
05/12/2020;226;230.8;3600;6.28;48
06/12/2020;216;242.8;3321;6.5;48
07/12/2020;165;220.2;762;21.65;48
08/12/2020;149;202.2;2181;6.83;48
09/12/2020;182;187.6;2525;7.21;48
10/12/2020;217;185.8;2699;8.04;48
11/12/2020;160;174.6;2674;5.98;47
12/12/2020;222;186;3460;6.42;44
13/12/2020;157;187.6;2023;7.76;48
14/12/2020;114;174;839;13.59;53
15/12/2020;377;206;1722;21.89;53
16/12/2020;244;222.8;2828;8.63;50
17/12/2020;463;271;2895;15.99;48
18/12/2020;251;289.8;3272;7.67;50
19/12/2020;183;303.6;3687;4.96;50
