date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;0;0;1;0;0
25/02/2020;0;0;1;0;0
26/02/2020;0;0;1;0;0
27/02/2020;0;0;11;0;0
28/02/2020;1;0.2;7;14.29;0
29/02/2020;0;0.2;6;0;0
01/03/2020;0;0.2;8;0;0
02/03/2020;0;0.2;4;0;0
03/03/2020;0;0.2;0;NA;0
04/03/2020;0;0;7;0;0
05/03/2020;1;0.2;7;14.29;0
06/03/2020;2;0.6;46;4.35;0
07/03/2020;0;0.6;14;0;0
08/03/2020;5;1.6;0;NA;0
09/03/2020;2;2;60;3.33;0
10/03/2020;2;2.2;187;1.07;2
11/03/2020;6;3;45;13.33;2
12/03/2020;14;5.8;78;17.95;2
13/03/2020;5;5.8;21;23.81;3
14/03/2020;22;9.8;207;10.63;4
15/03/2020;8;11;173;4.62;6
16/03/2020;21;14;146;14.38;7
17/03/2020;25;16.2;263;9.51;10
18/03/2020;15;18.2;375;4;11
19/03/2020;40;21.8;674;5.93;13
20/03/2020;38;27.8;348;10.92;16
21/03/2020;28;29.2;360;7.78;16
22/03/2020;38;31.8;616;6.17;17
23/03/2020;19;32.6;407;4.67;20
24/03/2020;27;30;413;6.54;21
25/03/2020;32;28.8;572;5.59;23
26/03/2020;42;31.6;875;4.8;23
27/03/2020;101;44.2;968;10.43;22
28/03/2020;61;52.6;859;7.1;22
29/03/2020;59;59;725;8.14;19
30/03/2020;33;59.2;528;6.25;18
31/03/2020;12;53.2;314;3.82;17
01/04/2020;10;35;656;1.52;16
02/04/2020;22;27.2;696;3.16;19
03/04/2020;42;23.8;929;4.52;17
04/04/2020;8;18.8;706;1.13;15
05/04/2020;54;27.2;763;7.08;13
06/04/2020;22;29.6;556;3.96;14
07/04/2020;16;28.4;439;3.64;14
08/04/2020;26;25.2;905;2.87;15
09/04/2020;15;26.6;721;2.08;15
10/04/2020;27;21.2;939;2.88;14
11/04/2020;14;19.6;856;1.64;15
12/04/2020;8;18;718;1.11;14
13/04/2020;5;13.8;385;1.3;12
14/04/2020;28;16.4;418;6.7;12
15/04/2020;15;14;648;2.31;11
16/04/2020;38;18.8;980;3.88;9
17/04/2020;-18;13.6;1015;-1.77;7
18/04/2020;20;16.6;1137;1.76;7
19/04/2020;24;15.8;966;2.48;6
20/04/2020;3;13.4;613;0.49;7
21/04/2020;9;7.6;1067;0.84;7
22/04/2020;13;13.8;1120;1.16;7
23/04/2020;9;11.6;1309;0.69;7
24/04/2020;10;8.8;895;1.12;7
25/04/2020;9;10;1195;0.75;7
26/04/2020;1;8.4;894;0.11;8
27/04/2020;7;7.2;934;0.75;6
28/04/2020;1;5.6;1968;0.05;6
29/04/2020;5;4.6;1159;0.43;6
30/04/2020;6;4;989;0.61;6
01/05/2020;4;4.6;1151;0.35;3
02/05/2020;0;3.2;874;0;4
03/05/2020;2;3.4;907;0.22;4
04/05/2020;4;3.2;603;0.66;4
05/05/2020;1;2.2;1071;0.09;4
06/05/2020;3;2;1319;0.23;3
07/05/2020;3;2.6;1026;0.29;2
08/05/2020;1;2.4;1126;0.09;2
09/05/2020;3;2.2;1091;0.27;2
10/05/2020;3;2.6;1040;0.29;2
11/05/2020;2;2.4;1154;0.17;1
12/05/2020;4;2.6;1155;0.35;1
13/05/2020;2;2.8;1367;0.15;1
14/05/2020;3;2.8;1263;0.24;2
15/05/2020;1;2.4;1651;0.06;2
16/05/2020;7;3.4;1390;0.5;2
17/05/2020;0;2.6;1213;0;2
18/05/2020;0;2.2;863;0;2
19/05/2020;2;2;1143;0.17;2
20/05/2020;3;2.4;1158;0.26;1
21/05/2020;0;1;1256;0;1
22/05/2020;1;1.2;1123;0.09;1
23/05/2020;0;1.2;1045;0;1
24/05/2020;0;0.8;1060;0;1
25/05/2020;0;0.2;556;0;1
26/05/2020;0;0.2;1006;0;1
27/05/2020;1;0.2;1117;0.09;1
28/05/2020;0;0.2;1325;0;1
29/05/2020;0;0.2;1175;0;1
30/05/2020;0;0.2;1203;0;1
31/05/2020;0;0.2;940;0;1
01/06/2020;0;0;618;0;1
02/06/2020;0;0;725;0;1
03/06/2020;0;0;620;0;0
04/06/2020;0;0;835;0;0
05/06/2020;1;0.2;1114;0.09;0
06/06/2020;0;0.2;1104;0;0
07/06/2020;0;0.2;852;0;0
08/06/2020;0;0.2;359;0;0
09/06/2020;0;0.2;715;0;0
10/06/2020;0;0;958;0;0
11/06/2020;2;0.4;851;0.24;1
12/06/2020;0;0.4;1038;0;1
13/06/2020;1;0.6;1192;0.08;1
14/06/2020;0;0.6;726;0;1
15/06/2020;0;0.6;411;0;1
16/06/2020;0;0.2;889;0;0
17/06/2020;0;0.2;984;0;0
18/06/2020;3;0.6;957;0.31;0
19/06/2020;0;0.6;1051;0;0
20/06/2020;3;1.2;1019;0.29;0
21/06/2020;6;2.4;643;0.93;0
22/06/2020;1;2.6;437;0.23;0
23/06/2020;1;2.2;854;0.12;0
24/06/2020;0;2.2;1036;0;0
25/06/2020;0;1.6;1021;0;0
26/06/2020;3;1;1165;0.26;0
27/06/2020;1;1;924;0.11;0
28/06/2020;1;1;480;0.21;0
29/06/2020;0;1;318;0;0
30/06/2020;1;1.2;924;0.11;0
01/07/2020;0;0.6;832;0;0
02/07/2020;0;0.4;988;0;0
03/07/2020;1;0.4;938;0.11;0
04/07/2020;1;0.6;1084;0.09;0
05/07/2020;0;0.4;531;0;0
06/07/2020;0;0.4;238;0;0
07/07/2020;1;0.6;1032;0.1;0
08/07/2020;1;0.6;905;0.11;0
09/07/2020;0;0.4;943;0;0
10/07/2020;1;0.6;997;0.1;0
11/07/2020;2;1;893;0.22;0
12/07/2020;28;6.4;559;5.01;0
13/07/2020;0;6.2;281;0;0
14/07/2020;0;6.2;861;0;0
15/07/2020;2;6.4;779;0.26;0
16/07/2020;8;7.6;897;0.89;0
17/07/2020;5;3;859;0.58;0
18/07/2020;7;4.4;944;0.74;0
19/07/2020;1;4.6;830;0.12;0
20/07/2020;0;4.2;172;0;0
21/07/2020;0;2.6;943;0;0
22/07/2020;4;2.4;1049;0.38;0
23/07/2020;2;1.4;1142;0.18;0
24/07/2020;1;1.4;979;0.1;0
25/07/2020;1;1.6;949;0.11;0
26/07/2020;0;1.6;871;0;0
27/07/2020;0;0.8;200;0;0
28/07/2020;5;1.4;916;0.55;0
29/07/2020;3;1.8;886;0.34;0
30/07/2020;7;3;1118;0.63;1
31/07/2020;4;3.8;958;0.42;1
01/08/2020;3;4.4;1135;0.26;1
02/08/2020;1;3.6;559;0.18;1
03/08/2020;0;3;239;0;1
04/08/2020;2;2;867;0.23;1
05/08/2020;2;1.6;1058;0.19;1
06/08/2020;2;1.4;867;0.23;1
07/08/2020;7;2.6;1041;0.67;1
08/08/2020;4;3.4;875;0.46;1
09/08/2020;0;3;554;0;1
10/08/2020;2;3;327;0.61;1
11/08/2020;11;4.8;946;1.16;1
12/08/2020;4;4.2;1092;0.37;1
13/08/2020;12;5.8;1164;1.03;1
14/08/2020;19;9.6;1185;1.6;1
15/08/2020;10;11.2;1487;0.67;1
16/08/2020;3;9.6;1676;0.18;1
17/08/2020;4;9.6;864;0.46;1
18/08/2020;5;8.2;1474;0.34;1
19/08/2020;10;6.4;1516;0.66;1
20/08/2020;10;6.4;1452;0.69;1
21/08/2020;2;6.2;1340;0.15;1
22/08/2020;11;7.6;1342;0.82;1
23/08/2020;8;8.2;1184;0.68;1
24/08/2020;2;6.6;1274;0.16;1
25/08/2020;8;6.2;1458;0.55;1
26/08/2020;8;7.4;1224;0.65;0
27/08/2020;6;6.4;1604;0.37;0
28/08/2020;10;6.8;1538;0.65;0
29/08/2020;11;8.6;1530;0.72;0
30/08/2020;34;13.8;1379;2.47;0
31/08/2020;14;15;926;1.51;0
01/09/2020;22;18.2;1557;1.41;0
02/09/2020;32;22.6;1772;1.81;0
03/09/2020;13;23;1630;0.8;1
04/09/2020;19;20;1684;1.13;1
05/09/2020;19;21;1954;0.97;0
06/09/2020;27;22;1508;1.79;0
07/09/2020;17;19;620;2.74;1
08/09/2020;8;18;1168;0.68;1
09/09/2020;19;18;1478;1.29;2
10/09/2020;8;15.8;1395;0.57;3
11/09/2020;8;12;1569;0.51;3
12/09/2020;18;12.2;1530;1.18;3
13/09/2020;14;13.4;1315;1.06;3
14/09/2020;3;10.2;674;0.45;2
15/09/2020;4;9.4;1185;0.34;2
16/09/2020;19;11.6;1669;1.14;2
17/09/2020;16;11.2;1845;0.87;4
18/09/2020;28;14;1777;1.58;4
19/09/2020;25;18.4;1880;1.33;4
20/09/2020;22;22;1632;1.35;4
21/09/2020;12;20.6;920;1.3;4
22/09/2020;24;22.2;1531;1.57;4
23/09/2020;19;20.4;1893;1;4
24/09/2020;9;17.2;1842;0.49;4
25/09/2020;10;14.8;1908;0.52;3
