date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;0;0;5;0;0
25/02/2020;3;1.5;0;NA;0
26/02/2020;0;1;0;NA;0
27/02/2020;1;1;0;NA;0
28/02/2020;0;0.8;0;NA;0
29/02/2020;0;0.8;1;0;0
01/03/2020;5;1.2;285;1.75;0
02/03/2020;-2;0.8;16;-12.5;0
03/03/2020;0;0.6;0;NA;0
04/03/2020;11;2.8;60;18.33;0
05/03/2020;0;2.8;0;NA;0
06/03/2020;6;3;0;NA;0
07/03/2020;11;5.6;276;3.99;0
08/03/2020;18;9.2;148;12.16;0
09/03/2020;1;7.2;45;2.22;0
10/03/2020;8;8.8;119;6.72;2
11/03/2020;21;11.8;239;8.79;1
12/03/2020;32;16;283;11.31;5
13/03/2020;15;15.4;473;3.17;7
14/03/2020;26;20.4;150;17.33;11
15/03/2020;32;25.2;352;9.09;15
16/03/2020;25;26;201;12.44;20
17/03/2020;24;24.4;263;9.13;28
18/03/2020;45;30.4;378;11.9;29
19/03/2020;58;36.8;667;8.7;36
20/03/2020;68;44;507;13.41;42
21/03/2020;82;55.4;415;19.76;48
22/03/2020;140;78.6;697;20.09;55
23/03/2020;91;87.8;795;11.45;60
24/03/2020;125;101.2;795;15.72;60
25/03/2020;148;117.2;1142;12.96;80
26/03/2020;170;134.8;1346;12.63;68
27/03/2020;86;124;1421;6.05;75
28/03/2020;109;127.6;2017;5.4;71
29/03/2020;101;122.8;718;14.07;71
30/03/2020;95;112.2;944;10.06;75
31/03/2020;92;96.6;876;10.5;72
01/04/2020;71;93.6;1202;5.91;72
02/04/2020;73;86.4;997;7.32;73
03/04/2020;68;79.8;853;7.97;73
04/04/2020;73;75.4;1210;6.03;74
05/04/2020;62;69.4;2008;3.09;76
06/04/2020;52;65.6;1560;3.33;74
07/04/2020;51;61.2;1393;3.66;73
08/04/2020;62;60;2581;2.4;65
09/04/2020;73;60;1304;5.6;63
10/04/2020;70;61.6;2414;2.9;62
11/04/2020;62;63.6;2631;2.36;58
12/04/2020;52;63.8;2311;2.25;53
13/04/2020;42;59.8;1213;3.46;51
14/04/2020;43;53.8;566;7.6;53
15/04/2020;34;46.6;1990;1.71;49
16/04/2020;44;43;2538;1.73;48
17/04/2020;46;41.8;2767;1.66;46
18/04/2020;47;42.8;2543;1.85;42
19/04/2020;45;43.2;2057;2.19;41
20/04/2020;42;44.8;1601;2.62;39
21/04/2020;76;51.2;3720;2.04;37
22/04/2020;48;51.6;3639;1.32;35
23/04/2020;43;50.8;3418;1.26;34
24/04/2020;55;52.8;3015;1.82;32
25/04/2020;39;52.2;3086;1.26;33
26/04/2020;35;44;1853;1.89;33
27/04/2020;30;40.4;546;5.49;35
28/04/2020;35;38.8;2358;1.48;34
29/04/2020;20;31.8;2352;0.85;34
30/04/2020;26;29.2;4309;0.6;33
01/05/2020;28;27.8;3191;0.88;30
02/05/2020;19;25.6;1492;1.27;30
03/05/2020;27;24;1603;1.68;29
04/05/2020;15;23;1211;1.24;27
05/05/2020;12;20.2;4140;0.29;26
06/05/2020;14;17.4;1693;0.83;25
07/05/2020;7;15;2696;0.26;21
08/05/2020;13;12.2;3016;0.43;19
09/05/2020;12;11.6;2837;0.42;17
10/05/2020;14;12;855;1.64;16
11/05/2020;12;11.6;731;1.64;16
12/05/2020;4;11;1883;0.21;15
13/05/2020;11;10.6;2974;0.37;13
14/05/2020;12;10.6;3146;0.38;12
15/05/2020;8;9.4;1792;0.45;11
16/05/2020;8;8.6;2034;0.39;12
17/05/2020;6;9;2463;0.24;13
18/05/2020;7;8.2;1433;0.49;13
19/05/2020;8;7.4;3181;0.25;12
20/05/2020;8;7.4;1533;0.52;11
21/05/2020;6;7;3775;0.16;11
22/05/2020;4;6.6;2083;0.19;10
23/05/2020;0;5.2;2482;0;9
24/05/2020;2;4;1336;0.15;9
25/05/2020;4;3.2;2012;0.2;9
26/05/2020;3;2.6;2421;0.12;10
27/05/2020;5;2.8;2613;0.19;10
28/05/2020;3;3.4;2221;0.14;8
